e	12.5571260964
a	11.6414324823
o	7.77473601877
s	7.28588189284
n	6.57857980893
r	5.90982736466
i	5.23157718308
l	5.01145315381
d	4.66729984915
u	4.20693893514
t	3.75607575842
c	3.55662327504
m	2.74931560422
Ã	2.63087323314
p	2.17498184256
b	1.62467176937
v	1.11347002626
g	1.0916810995
h	1.00396670205
q	0.948656349517
y	0.926867422761
­	0.849209453042
³	0.71512374993
f	0.531314598581
j	0.504497457959

	0.434102463825
z	0.388848539025
¡	0.372087826136
-	0.351974970669
©	0.338007709928
±	0.321246997039
.	0.310631878876
D	0.200011173809
S	0.181574389631
Â	0.168724509749
E	0.16760712889
x	0.150846416001
P	0.148052963853
L	0.145818202134
A	0.129057489245
C	0.116207609364
M	0.0910665400302
º	0.0871557070227
N	0.0832448740153
_	0.0826861835857
¿	0.071512374993
?	0.0709536845634
V	0.0625733281189
!	0.0597798759707
Y	0.054751662104
R	0.0469299960892
H	0.0446952343706
T	0.0391083300743
F	0.0324040449187
I	0.0290519023409
 	0.0262584501927
O	0.0240236884742
U	0.0234649980446
»	0.0189954746075
«	0.0189954746075
Q	0.0173194033186
B	0.0145259511705
*	0.00838035644449
G	0.00446952343706
¼	0.00391083300743
X	0.00279345214816
J	0.00223476171853
1	0.00223476171853
“	0.00223476171853
8	0.0016760712889
w	0.00111738085927
9	0.00111738085927
5	0.00111738085927
‰	0.00111738085927
2	0.000558690429633
'	0.000558690429633
